"Country,Year 2015,Year 2016,Year 2017,Year 2018,Year 2019,Year 2020,Year 2021,Year 2022 Forecast,Year 2023 Forecast,Year 2024 Forecast,Year 2025 Forecast,Year 2026 Forecast"
" Afghanistan , $705,60 , $617,13 , $635,79 , $582,32 , $586,20 , $611,27 , no data , no data , no data , no data , no data , no data "
" Lebanon , $7 663,88 , $7 653,69 , $7 819,59 , $8 058,46 , $7 639,10 , $2 784,82 , no data , no data , no data , no data , no data , no data "
" Pakistan , $1 422,92 , $1 436,37 , $1 544,17 , $1 557,89 , $1 352,72 , $1 254,86 , no data , no data , no data , no data , no data , no data "
" Syria , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data "
" Venezuela , $10 568,10 , $9 092,02 , $4 725,05 , $3 404,43 , $2 299,31 , $1 690,66 , $1 627,35 , $1 617,76 , no data , no data , no data , no data "
" Uruguay , $16 692,65 , $16 446,23 , $18 388,31 , $18 472,86 , $17 601,27 , $16 023,35 , $16 965,08 , $17 930,51 , $18 466,47 , $19 170,47 , $19 954,91 , $20 711,26 "
" Panama , $13 606,60 , $14 344,09 , $15 178,30 , $15 612,33 , $15 830,98 , $12 373,05 , $13 861,06 , $14 643,87 , $15 481,39 , $16 372,06 , $17 319,30 , $18 326,52 "
" Antigua and Barbuda , $14 696,89 , $15 556,01 , $15 655,23 , $16 860,96 , $17 451,55 , $13 967,33 , $14 117,84 , $15 196,34 , $16 137,47 , $16 950,96 , $17 633,72 , $18 228,01 "
" Trinidad and Tobago , $18 214,37 , $16 256,46 , $16 173,66 , $17 037,95 , $16 637,11 , $15 424,82 , $15 352,72 , $16 323,03 , $16 805,62 , $17 220,62 , $17 647,04 , $18 088,33 "
" Maldives , $11 781,03 , $12 348,71 , $13 201,45 , $14 476,59 , $15 148,80 , $9 888,65 , $11 899,09 , $13 550,91 , $15 223,42 , $16 169,69 , $17 104,02 , $18 081,88 "
" Oman , $16 570,74 , $14 834,59 , $15 482,13 , $17 338,96 , $16 529,39 , $14 255,09 , $17 632,65 , $18 226,55 , $17 888,76 , $17 750,79 , $17 741,89 , $17 903,92 "
" Palau , $16 408,16 , $16 776,84 , $16 028,19 , $16 328,65 , $15 725,08 , $14 731,70 , $11 835,18 , $13 602,82 , $15 695,71 , $16 414,20 , $17 017,28 , $17 566,78 "
" Guyana , $5 579,97 , $5 796,82 , $6 104,16 , $6 120,54 , $6 594,38 , $6 952,70 , $9 369,01 , $12 426,39 , $15 152,58 , $15 767,57 , $16 563,39 , $17 509,34 "
" China, People's Republic of , $8 034,29 , $8 063,45 , $8 760,26 , $9 848,95 , $10 170,06 , $10 511,34 , $11 891,20 , $12 990,01 , $14 040,08 , $15 141,55 , $16 295,35 , $17 492,96 "
" Bulgaria , $7 079,78 , $7 575,77 , $8 381,99 , $9 470,58 , $9 863,02 , $10 006,35 , $11 331,87 , $12 336,97 , $13 414,42 , $14 509,32 , $15 599,36 , $16 672,04 "
